tw,ch,en
同意提出檢控,同意提出检控,consent to prosecute
執行公義必須彰顯於人前,执行公义必须彰显于人前,justice is done and is seen to be done
充分的分量,充分的分量,sufficient weight
釋放令,释放令,order for discharge
獨立而公正的證人,独立而公正的证人,independent and impartial witness
當面認人,当面认人,confrontation
放棄上訴通知,放弃上诉通知,notice of abandonment
有合理的投訴或抱怨,有合理的投诉或抱怨,legitimate sense of grievance
執行公義,执行公义,administration of justice
固有司法管轄權,固有司法管辖权,inherent jurisdiction
實際使用暴力,实际使用暴力,actual violence
呈述,呈述,submit
申請查閱對方準備呈堂的文件及證物表,申请查阅对方准备呈堂的文件及证物表,discovery
普通法特權,普通法特权,common law privilege
對公眾良知的公然冒犯,对公众良知的公然冒犯,affront to the public conscience
作出傾向並意圖妨礙司法公正的作為,作出倾向并意图妨碍司法公正的作为,doing an act tending and intended to pervert the course of public justice
請求書,请求书,letter of request
鼓動,鼓动,instigate
自然正義法則,自然正义法则,rules of natural justice
無辜解釋,无辜解释,innocent explanation
明顯過重,明显过重,manifestly excessive
明確的認罪,明确的认罪,unequivocal guilty plea
靈活的……釋義,灵活的……释义,liberal ... interpretation
行之已久的法律,行之已久的法律,trite law
監禁,监禁,incarceration
帶家,带家,courier
免予起訴書,免予起诉书,immunity
一般合理及誠實人的客觀標準,一般合理及诚实人的客观标准,the ordinary objective standards of reasonable and honest people
事實昭顯,事实昭显,res ipsa loquitur
不計算已服之……刑期,不计算已服之……刑期,loss of time
有合理的定罪機會,有合理的定罪机会,reasonable prospect of a conviction
不在犯罪現場的證據,不在犯罪现场的证据,alibi evidence
慣常的減刑,惯常的减刑,customary discount
撤銷保釋命令,撤销保释命令,revoke order for bail
傳聞證據,传闻证据,hearsay evidence
推翻認罪,推翻认罪,reverse guilty plea
敵對證人,敌对证人,hostile witness
可行和可供考慮的判罰方式,可行和可供考虑的判罚方式,feasible sentencing option
交付偽製流通紙幣,交付伪制流通纸币,deliver counterfeit currency notes
內庭聆訊,内庭聆讯,hearing in chambers
法律構定信託,法律构定信讬,constructive trust
不被爭議的證據,不被争议的证据,undisputed evidence
串謀妨礙司法公正,串谋妨碍司法公正,conspiracy to pervert the course of justice
證據的連鎖性,证据的连锁性,chain of evidence
獲免予起訴的從犯,获免予起诉的从犯,accomplice with immunity
判罰處理方法,判罚处理方法,sentencing approach
感化令,感化令,probation order
作出有違公德的行為,作出有违公德的行为,commit an act outraging public decency
基本的判刑基準,基本的判刑基准,basic tariff in sentencing
辯方證人,辩方证人,defence witness
公正公開的聆訊,公正公开的聆讯,fair and public hearing
直接口頭證據,直接口头证据,direct oral evidence
不得……接納為證據,不得……接纳为证据,inadmissible as evidence
辯方論據,辩方论据,defence case
辨認的正確性,辨认的正确性,correctness of identification
貶損……控方證人的品格,贬损……控方证人的品格,imputations on the character of ... the witnesses for the prosecution
精神病,精神病,mental illness
構成表面證據,构成表面证据,establish a prima facie case
削弱證據,削弱证据,undermine evidence
短暫、嚴峻、震驚的刑罰,短暂、严峻、震惊的刑罚,"short, sharp, shock treatment"
除弊規則,除弊规则,mischief rule
不提證據起訴,不提证据起诉,offer no evidence
檢控時限已過,检控时限已过,time-barred
串謀將人強行帶走或禁錮而意圖取得贖金,串谋将人强行带走或禁锢而意图取得赎金,conspiracy to forcibly take away or detain a person with intent to procure a ransom
錯誤指引,错误指引,misdirection
希望得到利益,希望得到利益,hope of advantage
轉承責任,转承责任,vicarious responsibility
親口所述的未經證實之言,亲口所述的未经证实之言,ipse dixit
非宗教式誓詞,非宗教式誓词,affirmation
實質命令,实质命令,substantive order
犯罪意識,犯罪意识,guilty knowledge
案例不獲認同,案例不获认同,case disapproved
自行,自行,on ... own motion
公義必須實踐，並且彰顯人前,公义必须实践，并且彰显人前,"justice must not only be done, but manifestly be seen to be done"
明顯失職行為,明显失职行为,flagrant and incompetent conduct
虛耗訟費命令,虚耗讼费命令,wasted costs orders
承認事實書,承认事实书,statement of admitted facts
無基礎的試探性問題,无基础的试探性问题,fishing expedition
簽保以保證保持行為良好,签保以保证保持行为良好,bind over to be of good behaviour
感化令的規定及條件,感化令的规定及条件,requirements and conditions of the probation order
訟費評定聆訊,讼费评定聆讯,taxation hearing
明顯的行為,明显的行为,overt act
法院的……指示,法院的……指示,direction by court
免導致自己或配偶入罪的特權,免导致自己或配偶入罪的特权,privilege against incrimination of self or spouse
違反遞解離境令,违反递解离境令,breach of deportation order
侵入者,侵入者,trespasser
慣犯,惯犯,persistent offender
刻意,刻意,calculated
刑事訟案及事宜,刑事讼案及事宜,criminal causes and matters
書面交付審判,书面交付审判,paper committal
下級法庭,下级法庭,court below
不可信的辯護理由,不可信的辩护理由,incredible defence
申請人,申请人,applicant
可由……審理,可由……审理,justiciable
警誡供詞,警诫供词,cautioned statement
新近管有原則,新近管有原则,doctrine of recent possession
一般的審慎旁觀者,一般的审慎旁观者,ordinary prudent bystander
旁證,旁证,corroboration
把法律問題提交上訴法庭考慮,把法律问题提交上诉法庭考虑,reserve question of law for consideration of Court of Appeal
監禁管敎場所,监禁管教场所,penal institution
已確立的法律,已确立的法律,settled law
完備上訴理由,完备上诉理由,perfected grounds of appeal
公眾衞生或道德,公众卫生或道德,public health or morals
先前一貫陳述,先前一贯陈述,previous consistent statement
證據確鑿,证据确凿,overwhelming evidence
判例,判例,case law
犯罪行動,犯罪行动,criminal enterprise
最高判刑權限,最高判刑权限,maximum sentencing jurisdiction
答辯商討,答辩商讨,plea bargaining
所得到的最好的證據,所得到的最好的证据,best evidence available
法規的詮釋,法规的诠释,construction of statutes
暫行聆訊,暂行聆讯,heard de bene esse
提出抗辯的案件,提出抗辩的案件,contested case
免使自己入罪的原則,免使自己入罪的原则,principle against self-incrimination
舉證責任在於控方,举证责任在于控方,burden on prosecution
嚴重違反,严重违反,gross breach
免予起訴,免予起诉,immunity from prosecution
“同一事件” 的原則,“同一事件” 的原则,one-transaction rule
入境事務處的旅客嫌疑人名單,入境事务处的旅客嫌疑人名单,Immigration Watch List
判予無罪的理由,判予无罪的理由,reasons for acquittal
要求控方全面證案,要求控方全面证案,put the prosecution to straight proof
合理的陪審團,合理的陪审团,reasonable jury
整體刑罰的原則,整体刑罚的原则,the totality principle
可具有採取適當行動的權力的人,可具有采取适当行动的权力的人,person who may have power to take appropriate action
宣告判決,宣告判决,delivery of the judgment
越權,越权,ultra vires
牽連罪責的證據,牵连罪责的证据,inculpatory evidence
定額款項命令,定额款项命令,fixed sum order
虛假聲明,虚假声明,false declaration
共同意圖,共同意图,common intention
協從,协从,accessory to
失當行為,失当行为,misconduct
總體刑期,总体刑期,overall length of sentence
懲罰性條文嚴格釋義,惩罚性条文严格释义,strict interpretation of penal provision
對案件有關鍵性的謊言,对案件有关键性的谎言,material lie
模範品格,模范品格,exemplary character
登錄不認罪的答辯,登录不认罪的答辩,plea of not guilty to be entered
享有特權和備受信任的地位,享有特权和备受信任的地位,privileged and trusted position
法官對陪審團的結案指引,法官对陪审团的结案指引,summing up direction
以案件呈述方式提出的法律問題,以案件呈述方式提出的法律问题,case stated question
不可推翻的唯一推論,不可推翻的唯一推论,the only irrebuttable inference
爭訟審訊,争讼审讯,contested trial
持續罪行,持续罪行,continuing offence
無佐證證供,无佐证证供,uncorroborated evidence
串謀促致年齡在21歲以下的女童與人非法性交,串谋促致年龄在21岁以下的女童与人非法性交,conspiracy to procure girls under 21 to have unlawful sexual intercourse
選擇不舉證,选择不举证,elects not to adduce evidence
機會主義的爆竊者,机会主义的爆窃者,opportunistic burglar
司法解釋,司法解释,judicial interpretation
行政機關給予赦免,行政机关给予赦免,executive clemency
法官加入控辯雙方的訟辯,法官加入控辩双方的讼辩,judge entering the arena
